NO COMMANDE;DATE COMMANDE;DATE LIVRAISON;DATE PAIEMENT;CODE CLIENT;REPRESENTANT;ENTREPOT;CODE ARTICLE;QTE;PRIX UNITAIRE;REMISE %;COUT UNITAIRE;CANAL DE VENTE
CMD-102469;31/01/2025;2025-02-02;21/03/2025;CLI-0155;EMP-506;ENT-SAG;BD-1178;8;171,28;16,60;119,43;Représentant
CMD-103699;25/07/2025;01/08/2025;22/09/2025;CLI-0217;EMP-506;ENT-MTL;BD-1058;38;192,48;21,40;149,54;Représentant
CMD-104591;21/10/2025;28/10/2025;27/11/2025;CLI-0049;EMP-508;ENT-MTL;BD-1141;2;435,78;12,70;314,24;Représentant
CMD-103140;12-mai-25;14/05/2025;17/07/2025;CLI-0009 ;EMP-502;ENT-MTL;BD-1105;20;197,70;23,70;169,61;Portail web
CMD-102415;20/01/2025;24-janv-25;01/04/2025;CLI-0079;EMP-509;ENT-MTL;BD-1169;24;545,16;5,50;282,28;Courriel
CMD-104775;10/11/2025;12-nov-25;30/12/2025;CLI-0137;EMP-503;ENT-SAG;BD-1142;3;129,86;20,40;100,93;Représentant
CMD-103105;08/05/2025;2025-05-14;14/06/2025;CLI-0147;EMP-506;ENT-QC;BD-1032;12;516,46;5,60;409,59;Représentant
CMD-103947;25-août-25;28/08/2025;15/10/2025;CLI-0076;EMP-507;ENT-SAG;BD-1002;9;379,04;19,10;298,72;Courriel
CMD-103084;06-mai-25;12/05/2025;30/06/2025;CLI-0207;EMP-501;ENT-MTL;BD-1008;6;214,81;8,10;155,34;
CMD-104712;31/10/2025;2025-11-02;17/12/2025;CLI-0097;EMP-504;ENT-SAG;BD-1177;2;387,45;4,90;215,66;Téléphone
CMD-104071;08-sept-25;14/09/2025;03/11/2025;CLI-0169;EMP-507;ENT-MTL;BD-1079;2;235,58;10,70;147,87;Téléphone
CMD-105095;25/12/2025;2026-01-02;;CLI-0192;EMP-505;ENT-SAG;BD-1068;12;514,38;8,80;342,49;Représentant
CMD-103114;09/05/2025;16/05/2025;2025-06-28;CLI-0154;EMP-507;ENT-QC;BD-1153;2;179,71;10,40;116,00;Représentant
